강릉
	1
	1
	0
	0
	0
	0
	-3
	-3
	-3
	-3
	-3
	-2
	-1
광주
	1
	1
	-2
	-2
	-2
	-2
	-2
	-2
	-3
	-3
	-3
	-2
	-3
군산
	-1
	-1
	-4
	-4
	-4
	-4
	-3
	-3
	-5
	-5
	-4
	-4
	-4
대구
	-1
	-1
	-1
	-1
	-2
	-2
	-3
	-3
	-4
	-4
	-4
	-4
	-3
대전
	-3
	-3
	-3
	-3
	-4
	-4
	-5
	-5
	-7
	-7
	-6
	-5
	-5
목포
	1
	1
	-1
	-1
	-1
	-1
	-1
	-1
	-1
	-1
	-1
	-1
	-1
부산
	5
	5
	4
	4
	2
	2
	1
	1
	0
	0
	0
	1
	1
서귀포
	8
	8
	6
	6
	5
	5
	5
	5
	4
	4
	4
	4
	4
서울
	-2
	-2
	-3
	-3
	-3
	-3
	-5
	-5
	-6
	-6
	-5
	-5
	-5
세종
	-4
	-4
	-5
	-5
	-5
	-5
	-6
	-6
	-8
	-8
	-7
	-6
	-6
수원
	-3
	-3
	-4
	-4
	-4
	-4
	-6
	-6
	-7
	-7
	-5
	-5
	-4
안동
	-4
	-4
	-4
	-4
	-6
	-6
	-7
	-7
	-8
	-8
	-8
	-7
	-6
여수
	3
	3
	2
	2
	1
	1
	1
	1
	-1
	-1
	0
	1
	1
울산
	3
	3
	2
	2
	0
	0
	-1
	-1
	-3
	-3
	-2
	-1
	-2
원주
	-3
	-3
	-5
	-5
	-5
	-5
	-6
	-6
	-8
	-8
	-8
	-7
	-6
인천
	-1
	-1
	-2
	-2
	-2
	-2
	-4
	-4
	-5
	-5
	-3
	-3
	-3
전주
	-1
	-1
	-3
	-3
	-3
	-3
	-3
	-3
	-5
	-5
	-4
	-4
	-4
제주
	7
	7
	5
	5
	4
	4
	4
	4
	3
	3
	4
	4
	4
창원
	2
	2
	1
	1
	0
	0
	-1
	-1
	-2
	-2
	-1
	-1
	-1
청주
	-2
	-2
	-3
	-3
	-3
	-3
	-4
	-4
	-7
	-7
	-5
	-5
	-4
춘천
	-5
	-5
	-6
	-6
	-7
	-7
	-8
	-8
	-10
	-10
	-9
	-7
	-7
파주
	-5
	-5
	-7
	-7
	-8
	-8
	-10
	-10
	-11
	-11
	-10
	-10
	-10
포항
	1
	1
	1
	1
	0
	0
	-1
	-1
	-2
	-2
	-3
	-1
	-1
홍성
	-4
	-4
	-4
	-4
	-5
	-5
	-6
	-6
	-7
	-7
	-6
	-6
	-5
